,split_perc,split_conn,filename,feat_name,run,f1_dev,recall_dev,precision_dev,f1_dev_0,recall_dev_0,prec_dev_0,f1_dev_1,recall_dev_1,prec_dev_1,f1_test,recall_test,precision_test,f1_test_0,recall_test_0,prec_test_0,f1_test_1,recall_test_1,prec_test_1
228,40,attack,ibmcs_all.csv,bert-base,0,0.6461553416933994,0.6444910407929851,0.651116427432217,0.5679012345679012,0.5348837209302325,0.6052631578947368,0.7244094488188977,0.7540983606557377,0.696969696969697,0.5240620193202018,0.5335005452562704,0.5372304067712802,0.4404655326768129,0.3755725190839695,0.5324675324675324,0.6076585059635907,0.6914285714285714,0.541993281075028
229,40,attack,ibmcs_all.csv,bert-large,0,0.6267942583732058,0.6260007624857034,0.6410584720443875,0.5263157894736842,0.46511627906976744,0.6060606060606061,0.7272727272727273,0.7868852459016393,0.676056338028169,0.5556437825753301,0.5599454743729553,0.5634868937735029,0.4953031596925705,0.44274809160305345,0.562015503875969,0.6159844054580896,0.6771428571428572,0.564958283671037
230,40,attack,ibmcs_all.csv,distilbert,0,0.5897435897435898,0.589782691574533,0.5975155279503106,0.48717948717948717,0.4418604651162791,0.5428571428571428,0.6923076923076924,0.7377049180327869,0.6521739130434783,0.5290618036104922,0.5324100327153762,0.5338076105800076,0.47275775356244765,0.4305343511450382,0.5241635687732342,0.5853658536585367,0.6342857142857142,0.543451652386781
231,40,attack,ibmcs_all.csv,all_lms,0,0.7876932050160397,0.7832634388105223,0.7962519936204147,0.7407407407407408,0.6976744186046512,0.7894736842105263,0.8346456692913385,0.8688524590163934,0.803030303030303,0.7511098422983804,0.7516684841875682,0.7637220485254055,0.7200674536256323,0.6519083969465649,0.8041431261770244,0.7821522309711286,0.8514285714285714,0.7233009708737864
232,40,attack,ibmcs_all.csv,roberta-base,0,0.6350877192982456,0.6341974837971788,0.6527777777777778,0.5333333333333334,0.46511627906976744,0.625,0.7368421052631579,0.8032786885245902,0.6805555555555556,0.5787891934707685,0.5878298800436206,0.5991051740431564,0.5004533091568449,0.4213740458015267,0.6160714285714286,0.657125077784692,0.7542857142857143,0.5821389195148843
233,40,attack,ibmcs_all.csv,roberta-large,0,0.792533485323454,0.7935569958063287,0.7916666666666667,0.7586206896551724,0.7674418604651163,0.75,0.8264462809917356,0.819672131147541,0.8333333333333334,0.7437708565072302,0.7451199563794983,0.7618229470005824,0.7068965517241379,0.6259541984732825,0.8118811881188119,0.7806451612903225,0.8642857142857143,0.711764705882353
234,40,attack,ibmcs_all.csv,xlm-roberta-base,0,0.5689638554216867,0.5686237133053755,0.5703125,0.4819277108433735,0.46511627906976744,0.5,0.6559999999999999,0.6721311475409836,0.640625,0.5424811590027102,0.5518484187568157,0.5579271710048588,0.460431654676259,0.39083969465648855,0.5601750547045952,0.6245306633291614,0.7128571428571429,0.5556792873051225
235,40,attack,ibmcs_all.csv,xlm-roberta-large,0,0.6889952153110048,0.6854746473503621,0.7076397780623134,0.6052631578947368,0.5348837209302325,0.696969696969697,0.7727272727272727,0.8360655737704918,0.7183098591549296,0.7000487679902194,0.7041930207197383,0.7266910575405089,0.6475849731663685,0.5526717557251909,0.7818574514038877,0.7525125628140703,0.8557142857142858,0.67152466367713
236,40,attack,ibmcs_all.csv,roberta-base,0,0.6350877192982456,0.6341974837971788,0.6527777777777778,0.5333333333333334,0.46511627906976744,0.625,0.7368421052631579,0.8032786885245902,0.6805555555555556,0.5787891934707685,0.5878298800436206,0.5991051740431564,0.5004533091568449,0.4213740458015267,0.6160714285714286,0.657125077784692,0.7542857142857143,0.5821389195148843
237,40,attack,ibmcs_all.csv,roberta-large,0,0.792533485323454,0.7935569958063287,0.7916666666666667,0.7586206896551724,0.7674418604651163,0.75,0.8264462809917356,0.819672131147541,0.8333333333333334,0.7437708565072302,0.7451199563794983,0.7618229470005824,0.7068965517241379,0.6259541984732825,0.8118811881188119,0.7806451612903225,0.8642857142857143,0.711764705882353
